"JAPAN"	28
"JEWISH"	9
"JOURN"	44
"KHMER"	6
"KOREAN"	29
"LAN PRO"	3
"LATAMST"	12
"LATIN"	8
"LD ARCH"	73
"LEGALST"	36
"LGBT"	11
"LINGUIS"	43
"LNS"	45
"M E STU"	11
"MALAY/I"	5
"MAT SCI"	53
"MATH"	89
"MBA"	111
"MCELLBI"	161
"MEC ENG"	137
"MED ST"	3
"MEDIAST"	24
"MFE"	20
"MIL AFF"	7
"MIL SCI"	11
"MUSIC"	92
"NAT RES"	3
"NATAMST"	32
"NAV SCI"	11
"NE STUD"	27
"NEUROSC"	15
"NSE"	6
"NUC ENG"	45
"NUSCTX"	47
"NWMEDIA"	9
"OPTOM"	51
"PACS"	26
"PB HLTH"	212
"PERSIAN"	5
"PHDBA"	38
"PHILOS"	47
"PHYS ED"	19
"PHYSICS"	72
"PLANTBI"	71
"POL SCI"	102
"POLECON"	18
"PORTUG"	6
"PSYCH"	55
"PUB POL"	46
"PUNJABI"	4
"RELIGST"	12
"RHETOR"	53
"S ASIAN"	18
"S,SEASN"	22
"SANSKR"	6
"SCANDIN"	49
"SCMATHE"	7
"SEASIAN"	8
"SEMITIC"	1
"SLAVIC"	93
"SOC WEL"	67
"SOCIOL"	72
"SPANISH"	36
"STAT"	47
"STS"	2
"TAGALG"	4
"TAMIL"	6
"TELUGU"	2
"THAI"	6
"THEATER"	73
"TIBETAN"	16
"TURKISH"	1
"UGBA"	69
"UGIS"	52
"VIETNMS"	6
"VIS SCI"	29
"VIS STD"	7
"XMBA"	27
"YIDDISH"	3
"A,RESEC"	25
"AEROSPC"	7
"AFRICAM"	110
"AGR CHM"	1
"AHMA"	1
"AMERSTD"	25
"ANTHRO"	115
"ARABIC"	3
"ARCH"	95
"ART"	48
"ASAMST"	42
"ASIANST"	10
"AST"	5
"ASTRON"	37
"BANGLA"	4
"BIO ENG"	86
"BIOLOGY"	5
"BIOPHY"	4
"BUDDSTD"	30
"CELTIC"	28
"CHEM"	100
"CHICANO"	34
"CHINESE"	34
"CHM ENG"	48
"CIV ENG"	142
"CLASSIC"	30
"CMPBIO"	4
"COG SCI"	16
"COLWRIT"	26
"COM LIT"	20
"COMPBIO"	2
"COMPSCI"	75
"CRIT TH"	3
"CY PLAN"	56
"DEMOG"	25
"DEV STD"	9
"DEVP"	11
"DUTCH"	20
"EA LANG"	23
"EAEURST"	6
"ECON"	65
"EDUC"	94
"EL ENG"	114
"ENE,RES"	32
"ENGIN"	42
"ENGLISH"	5
"ENV DES"	27
"ENV SCI"	7
"ENVECON"	29
"EPS"	35
"ESPM"	154
"ETH GRP"	14
"ETH STD"	38
"EURA ST"	4
"EWMBA"	79
"FILIPN"	6
"FILM"	36
"FOLKLOR"	3
"FRENCH"	82
"GEOG"	42
"GERMAN"	69
"GMS"	4
"GPP"	3
"GREEK"	9
"GSPDP"	4
"GWS"	53
"HEBREW"	1
"HIN-URD"	10
"HISTART"	47
"HISTORY"	102
"HMEDSCI"	18
"IAS"	35
"ILA"	1
"IND ENG"	60
"INFO"	66
"INTEGBI"	128
"ISF"	14
"ITALIAN"	48
